State,county,diff,votes_gop,votes_dem,total_votes,confirmed_cases,TOT_POP,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
AL,Autauga,12335,19838,7503,27770,4988,55869,4204,12119,10552,10291,11.3,32.6,28.4,27.7
AL,Baldwin,58966,83544,24578,109679,12948,223234,14310,40579,46025,46075,9.7,27.6,31.3,31.3
GA,Baldwin,-237,8903,9140,18251,3488,223234,4375,10205,7611,5869,15.6,36.4,27.1,20.9
AL,Barbour,806,5622,4816,10518,1104,24686,4901,6486,4566,2220,27,35.7,25.1,12.2
WV,Barbour,3659,5116,1457,6677,951,24686,1611,5206,2607,1881,14.3,46.1,23.1,16.6
AL,Bibb,5539,7525,1986,9595,1893,22394,2650,7471,3846,1813,16.8,47.3,24.4,11.5
GA,Bibb,-16849,26559,43408,70714,11767,22394,14227,31489,28431,25616,14.3,31.6,28.5,25.7
AL,Blount,22071,24711,2640,27588,4381,57826,7861,13489,13267,5010,19.8,34,33.5,12.6
TN,Blount,29437,47369,17932,66609,11124,57826,9996,31875,27833,22022,10.9,34.8,30.3,24
AL,Bullock,-2300,1146,3446,4613,976,10101,1760,2817,1582,945,24.8,39.7,22.3,13.3
AL,Butler,1493,5458,3965,9488,1679,19448,2141,6091,3421,2235,15.4,43.9,24.6,16.1
IA,Butler,3118,5542,2424,8098,1538,19448,760,3928,3893,1823,7.3,37.8,37.4,17.5
KS,Butler,13247,22250,9003,31946,5345,19448,3250,11557,16109,12644,7.5,26.5,37,29
KY,Butler,3881,4960,1079,6125,1189,19448,1970,3844,2049,1132,21.9,42.7,22.8,12.6
MO,Butler,11301,14602,3301,18141,3231,19448,5072,10505,9589,4040,17.4,36,32.8,13.8
PA,Butler,36851,74359,37508,113305,8314,19448,7163,43787,34339,46776,5.4,33.2,26,35.4
AL,Calhoun,19885,35101,15216,50983,9021,113605,12620,25653,26643,14219,15.9,32.4,33.7,18
AR,Calhoun,1157,1636,479,2182,268,113605,649,1636,1013,452,17.3,43.6,27,12.1
GA,Calhoun,-340,923,1263,2198,426,113605,1217,1863,1218,446,25.7,39.3,25.7,9.4
IA,Calhoun,2219,3689,1470,5258,1251,113605,418,2557,2677,1371,6,36.4,38.1,19.5
MI,Calhoun,7344,36221,28877,66281,7838,113605,8123,33106,30526,19318,8.9,36.4,33.5,21.2
SC,Calhoun,400,4305,3905,8291,1065,113605,1532,3978,3131,2047,14.3,37.2,29.3,19.2
TX,Calhoun,3493,5641,2148,7856,1424,113605,2788,4819,4699,2169,19.3,33.3,32.5,15
WV,Calhoun,1796,2364,568,2971,192,113605,1053,2655,1164,605,19.2,48.5,21.3,11
AL,Chambers,2388,8753,6365,15284,1609,33254,4383,9060,7003,3118,18.6,38.4,29.7,13.2
TX,Chambers,13356,17353,3997,21652,3721,33254,3250,7445,9378,5489,12.7,29.1,36.7,21.5
AL,Cherokee,8959,10583,1624,12301,1115,26196,3692,7157,5417,2407,19.8,38.3,29,12.9
GA,Cherokee,56806,99585,42779,144815,18074,26196,13931,36896,51003,59717,8.6,22.8,31.6,37
IA,Cherokee,2559,4495,1936,6518,1409,26196,615,2968,2907,1766,7.4,35.9,35.2,21.4
KS,Cherokee,4459,6622,2163,8945,1656,26196,1535,4674,5071,2661,11,33.5,36.4,19.1
NC,Cherokee,9045,12628,3583,16423,1688,26196,2912,7354,6879,4086,13.7,34.6,32.4,19.2
SC,Cherokee,11060,18043,6983,25270,4386,26196,7755,13944,11097,5270,20.4,36.6,29.2,13.8
TX,Cherokee,10891,15101,4210,19508,2157,26196,6989,10640,10483,5708,20.7,31.5,31,16.9
AL,Chilton,13012,16085,3073,19310,3016,44428,5302,13125,7147,4219,17.8,44.1,24,14.2
AL,Choctaw,1169,4296,3127,7464,476,12589,1754,3606,2851,1225,18.6,38.2,30.2,13
AL,Clarke,1569,7324,5755,13135,2268,23622,3175,7372,4205,2118,18.8,43.7,24.9,12.6
GA,Clarke,-21605,14450,36055,51346,11162,23622,8950,14668,16220,29655,12.9,21.1,23.3,42.7
